Program,Vendor,Citrix Access,Restricted To:,Purchase Dept(s),Seat(s) Purchased,License Type,License Configuration,Account Auth,Acceptable Use Policy,Install Files | Account Creation,Installation Notes,CU Contact,Vendor/Version History,Vendor Contact,Expiration
PSSE,Siemens,No,ECE,,,Network,,No,,,"Run the Install_PSSE.bat file to install.  Make sure you select ALL components. Only version 35 is supported by the license server.   To license open ""CodeMEter Control Center"". Click WebAdmin and then select Configuration->Basic->Server Search list, add  and click apply.  Go back to CodeMeter Control and click Process -> Restart CodeMeter Service and you will be able to run the software.  Must be on ETHERNET or VPN to run! PSSE software will NOT display an error if it fails to check out a license, dit will just silently quit and you'll see nothing.  Probably a license issue. ",,,,
Solidworks EDU,Solidworks,Yes,No Restrictions,,500,Network,,No,Teaching and Coursework,,"This EDU license can only be used for teaching/classwork NOT research. 

	* serial number used for all versions unless otherwise stated here.

License Server:  28021@license4.clemson.edu (SolidWorks)

Home Editions of Windows operating systems are not supported with Solidworks
BootCamp Windows installations are not offically supported by Solidworks

Ref: http://www.solidworks.com/sw/support/SystemRequirements.html",,,,8/1/2023
COMSOL Research,COMSOL Multiphysics,Yes,No Restrictions w/ Seat Limits,,13,Network,,No,Academic Research Only,,Teaching versus research licenses use different network servers - see appropriate entry for use case,,,,
Digimat,Hexagon,Group-restricted,AuE ,,,Network,,No,Teaching and Coursework,,"This software is intended only for Dr. Pilla's AuE-6930 course. Course enrollment should be verified through CUICAR staff, and access can be provisioned in Citrix through the Central group digimat_cuapps. Owners of this Central group exist both on main campus and at CUICAR. ",,,,
CYME,Eaton,No,,,1,Network,,No,Academic Research Only,,"Once CYME is installed, run the CYME license manager. Potentially need to run diagnostics within the CYME license manager to install the required driver. In the Admin tab, enter and verify that the port section says ",,,,
Arena - Research,Rockwell Automation,Group-restricted,IE Majors,,36,Network,,No,Teaching and Research,,"Citrix should be used primarily for research requests, and students in IE by default should be able to access this research version in Citrix desktop VMs IE MADS Lab or IE Windows 10. Local installations of the research version is restricted by faculty in IE. ",,,,
AVL Concerto,AVL,Group-restricted,AuE,,,Network,,No,Teaching and Coursework,,"For Citrix use, this software is restricted in Central by the group `citrix_concerto`",,,,
ETABS,CSI America Inc,Yes,No restrictions,,20,Network,,No,Teaching and Research,,,,,,
SAP2000,CSI America Inc,Yes,No restriction,,30,Network,,No,Teaching and Research,,,,,,
Arena - Student,Rockwell Software,Group-restricted,IE Majors,,,Local Key,,,,,,,,,
Origin,OriginLab,No,Purchaser,,,Local Key,,No,"Teaching, Coursework, and Research",,License Key provided upon purchase made directly on web: https://www.originlab.com/,,,,
AMPL - Research,ampl.com,Group-restricted,IE Majors,,10,Network,,No,Academic Research Only,,Extact .zip file to bin directory of choice and add directory path to the system PATH,,,,2/28/2023
aspenONE,Aspen Technology,Group-restricted,Chemical Engineering,,,Network,,No,Teaching and Coursework,,Aspen HSYS and Aspen Plus are both available in Citrix. ,,,,
AutoCAD,Autodesk,Yes,No Restrictions,,,Local Key,,No,"Teaching, Coursework, and Research",,,,,,
ETAP,"ETAP/Operation Technology, Inc.",No,EIC - CURI Campus,,1,Network,,No,Commercial Research Only,,Restricted ,,,,12/15/2023
Ansys Lumerical,Ansys (Acquired from Lumerical Inc.),No,Site - Group Limited,,5,Network,,No,Academic Research Only,,,,,,6/28/2023
Ansys - Zemax OpticStudio,Ansys (acquired from Zemax LLC),No,Site - Group Limited,,"Unknown, probably matching Ansys",Network,,No,"Teaching, Coursework, and Research",,,,,,
NX,Siemens,Group-restricted,AUE,,,Network,,No,"Teaching, Coursework, and Research",,"For R drive and Citrix use, this software is restricted in Central by the group `software_Siemens_ZFS`",,,,
